Author,Title,Edition/Printing,"# Copies",HB/PB,ISBN,Section,Year
"Rapp, Rayna","Testing Women, Testing the Fetus: the Social Impact of Amniocentesis in America",2,,PB,415916453,,
"Rappaport, Joanne","Intercultural Utopias",,,PB,822335993,,2011S
"Rappoport, Leon","Punchlines: the Case for Racial, Ethnic, and Gender Humor",1,,HB,275987647,,
"Rapport, Nigel","British Subjects: an Anthropology of Britain",,2,PB,1859735460,,
"Rapport, Nigel & Joanna Overing","Social and Cultural Anthropology",,,PB,415181569,,
"Rasmussen, Kirk G.","Writer's Guide to Research and Documentation",5,3,PB,130485977,,
"Rasmussen, Kirk G.","Writer's Guide to Research and Documentation",6,,PB,131779974,,
"Rather, Dan","People of the Century",1,,HB,684870932,,2011S
"Rauch, Jonathan","Gay Marriage",1,,PB,805078150,,
"Raymond, Diane Barsoum","Existentialism and the Philosophical Tradition",4,,PB,132957752,,
"Rayor, Diane","Sappho's Lyre",1,3,PB,520073363,,2011S
"Reed, Ishmael","Flight to Canada",4,,PB,684847507,,2011S
"Reed, Ishmael","From Totems to Hip-Hop",,,PB,1560254580,,
"Reed, Richard","Forest Dwellers, Forest Protectors",,17,PB,205198228,,2010F
"Reed, Ronald F. & Tony W. Johnson","Philosophical Documents in Education",2,7,PB,801333164,Square,2011S
"Reese, William J.","America's Public Schools",1,,HB,80188196X,,2012S
"Reeve, C.D.C.","Trials of Socrates: Six Classic Texts",2,3,PB,872205894,,
"Reeve, Roger","Introduction to Environmental Analysis",,,PB,471492957,,
"Reeves, Richard","President Nixon: Alone in the White House",2,,PB,743227190,,
"Reichart, Elisabeth","February Shadows",1,,PB,929497023,,
"Reichman, O.J.","Konza Prairie: A Tallgrass Natural History",1,,HB,700603077,,
"Reichman, O.J.","Konza Prairie: A Tallgrass Natural History",2,6,PB,700604502,,
"Reid, Michael","Forgotten Continent: the Battle for Latin America's Soul",1,,PB,300151206,,
"Reilly, Kevin","Readings in World Civilizations",3,,PB,31209647X,,
"Reimers, David M.","Unwelcome Strangers",1,,PB,231109571,,
"Reinharz, Shulamit","Feminist Methods in Social Research",10,,PB,19507386X,,
"Remarque, Erich Maria","All Quiet on the Western Front",39,2,PB,449213943,,2010F
"Renard, John","Friends of God",1,2,PB,520251984,,
"Renfrew, Colin & Paul Bahn",Archaeology,5,,PB,500287139,,
"Repcheck, Jack","Man Who Found Time",1,,PB,743450876,,
"Restall, Matthew","Seven Myths of the Spanish Conquest",3,2,PB,195176111,,2012S
"Reynolds, David S.","Walt Whitman's America",6,,PB,679767096,,
"Reynolds, Frank E. & Jason A. Carbine","Life of Buddhism",1,2,PB,520223373,,
"Reynolds, Margaret","Penguin Book of Lesbian Short Stories",1,,HB,670854255,,2011S
"Rhodes, Richard","Deadly Feasts",5,,PB,684844257,,
"Rhys, Jean","Wide Sargasso Sea",,2,PB,393960129,,2011S
"Riasanovsky, Nicholas V. & Mark D. Steinberg","History of Russia To 1855 Volume 1",7,,PB,195153928,,2011S
"Ricardo, David","Principles of Political Economy and Taxation",,4,PB,1573921092,,
"Richardson, Laurel & Verta Taylor & Nancy Whittier","Feminist Frontiers",5,2,PB,72321369,,
"Richardson, Laurel & Verta Taylor & Nancy Whittier","Feminist Frontiers",6,5,PB,72824239,,
"Richardson, Louise","What Terrorists Want: Understanding the Enemy, Containing the Threat",2,,PB,812975444,,
"Richardson, Rick","Reimagining Evangelism",1,,PB,830833420,,
"Richardson, Samuel",Pamela,2,,PB,192829602,,
"Richardson, Samuel",Pamela,,2,PB,140431403,,
"Richlin-Klonsky, Judith & Ellen Strenski","Guide to Writing Sociology Papers",4,,PB,312137621,,
"Richlin-Klonsky, Judith & Ellen Strenski","Guide to Writing Sociology Papers",5,2,PB,1572599510,,
"Richman, Karen E.","Migration and Vodou",1,2,HB,813028353,,
"Richter, Daniel K.","Facing East from Indian Country",,,PB,674011175,,2010F
"Richter, Daniel K.","Facing East from Indian Culture",1,3,PB,674011171,Square,2010F
"Riddell, Tom & Jean Shackelford & Steve Stamos & Bill Cooper","Economics: a Tool for Critically Understanding Society",1,,PB,201557142,Economics,
"Riddle, Douglas F.","Calculus and Analytic Geometry",3,,HB,534006264,Mathematics,
"Ridley, Matt",Genome,1,,PB,7635737,,
"Rieber, Alfred J.","Merchants and Entrepreneurs in Imperial Russia",2,,PB,807843059,,
"Riel, Arthur J.","Object-Oriented Design Heuristics",11,,HB,20163385X,"Computer Science Texts",
"Rigal, Laura","American Manufactory",1,,HB,691015589,,
"Rigal, Laura","American Manufactory",2,,PB,691089515,,
"Rilke, Rainer Maria","Letters to a Young Poet",,,PB,486422453,,
"Ringe, Sharon H.","Jesus, Liberation, and the Biblical Jubilee: Images for Ethics and Christology",,,PB,800615541,,
"Risen, James","State of War",1,2,HB,743270673,,
"Rittner, Carol & John K. Roth & James M. Smith","Will Genocide Ever End?",1,,PB,1557788197,,
"Ritzer, George","Enchanting a Disenchanted World",1,7,PB,761985115,,
"Ritzer, George","Enchanting a Disenchanted World",2,2,PB,76198819X,,
"Ritzer, George","Globalization of Nothing",1,,PB,761988076,,
"Ritzer, George","McDonaldization of Society",2,,HB,761988114,,
"Ritzer, George","McDonaldization of Society",5,2,PB,1412954303,,
"Rivera, Geraldo","Hispanic: Why Americans Fear Hispanics in the U.S.",1,,HB,451224149,,
"Rivoli, Pietra","Travels of a T-Shirt in the Global Economy",6,,PB,470039205,,2012S
"Roach, Mary","Stiff: Curious Lives of Human Cadavers",2,,PB,393324826,,
"Robbe-Grillet, Alain","La Jalousie",,,PB,2707300543,French,
"Robben, Antonius C.G.M. & Jeffrey A. Sluka","Ethnographic Fieldwork: an Anthropological Reader",,,HB,1405125934,,
"Robbins, Richard H.","Cultural Anthropology",3,,PB,875814433,Anthropology,
"Robbins, Tom","Another Roadside Attraction",,,PB,553349481,,
"Roberts, Russell","Invisible Heart: An Economic Romance",3,,PB,262681358,,
"Robinet, Isabelle","Taoism: Growth of a Religion",,3,PB,804728399,,
"Robinson, Dave & Chris Garratt","Introducing Descartes",,,PB,1874166994,,
"Robinson, Sally","Student Solutions Manual for use with Elementary Statistics a Step by Step Approach",4,,PB,72375876,Mathematics,
"Rocamora, Carol","I Take Your Hand in Mine…",1,,PB,1575252449,,
"Roden, Timothy J.","Study Guide for Wright's Listening to Music",4,,PB,534603785,Music,
"Rodgers, Daniel T.","Atlantic Crossings: Social Politics in a Progressive Age",,,PB,674002016,,
"Rogers, Lesley","Sexing the Brain",2,,HB,231120109,,
"Rogers, Mary Beth","Cold Anger: A Story of Faith and Power Politics",7,4,PB,929398130,,
"Rojo, Grinor & Cynthia Steele","Ritos de Iniciacion",,18,PB,395381258,Crate,2012S
"Rome, Adam","Bulldozer in the Countryside",8,,PB,521804905,,
"Root, Robert L. Jr. & Michael Steinberg","Fourth Genre: Contemporary Writers of/on Creative Nonfiction",2,3,PB,205337155,,
"Roripaugh, Lee Ann","Beyond Heart Mountain",1,,PB,140589201,,
"Rose, Mike","Lives on the Boundary",13,2,PB,140124039,,
"Rose, Mike","Possible Lives: the Promise of Public Education in America",7,8,PB,140236171,,
"Rosen, Ruth","World Split Open: How the Modern Women's Movement Changed America",1,3,PB,140097198,,
"Rosenberg, Jerome L. & Lawrence M. Epstein","Schaum's Outlines College Chemistry",8,,PB,70588821,,2011F
"Rosenberg, Tina","Children of Cain: Violence and the Violent in Latin America",11,5,PB,140172548,,2010F
"Rosenblum, Joseph","Reader's Guide to Shakespeare",4,,PB,760714959,,
"Rosenblum, Mort","Mission to Civilize",,,PB,385243650,,
"Rosengarten, Herbert & Amanda Goldrick-Jones","Broadview Anthology of Poetry",,,PB,1551110067,"Poetry Anthology",
"Rosengarten, Theodore","All God's Dangers: the Life of Nate Shaw",3,,PB,226727742,,2012S
"Rosengarten, Theodore","All God's Dangers: the Life of Nate Shaw",2,3,PB,226727745,,2012S
"Rosengrant, Sandra F. & Elena D. Lifschitz","Golden Age: Readings in Russian Literature of the Nineteenth Century",2,,PB,471309400,,
"Rosenwein, Barbara H.","Reading the Middle Ages",1,3,PB,1551116936,Crate,2010F
"Rosenzweig, Franz","Understanding the Sick and the Healthy: a View of World, Man, and God",,2,PB,674921194,,
"Roskin, Michael G. & Nicholas O. Berry","IR the New World of International Relations",6,,PB,131174517,,
"Roskin, Michael G. & Robert L. Cord & James A. Medeiros & Walter S. Jones","Political Science: an Introduction",9,6,PB,131932918,,
"Ross, Cameron","Russian Politics Under Putin",1,,PB,719068010,,2011S
"Ross, Christopher J.","Spain 1812-1996",3,2,PB,340741139,,
"Ross, James Bruce & Mary Martin McLaughlin","Portable Renaissance Reader",13,,PB,140140617,,
"Ross, James Bruce & Mary Martin McLaughlin","Portable Renaissance Reader",,5,PB,140150617,,
"Ross, Kristin","Fast Cars, Clean Bodies",,,PB,262680912,,
"Ross, Robert L.","Colonial and Postcolonial Fiction",1,,PB,81533320X,,
"Ross, Thomas","Just Stories: How the Law Embodies Racism and Bias",1,2,PB,807044016,,2011F
"Rossi, Vicente","Cosas de Negros",,,PB,9505116993,Spanish,
"Rossiter, Clinton","The Federalist Papers",,,PB,45152881,,
"Rossman, Allan J. & Beth L. Chance","Workshop Statistics Discovery with Data",3,9,PB,1597571135,Mathematics,
"Rossman, Allan J. & Beth L. Chance","Workshop Statistics Discovery with Data and Minitab",2,5,PB,1930190069,Mathematics,
"Rossman, Allan J. & J. Barr Von Oehsen","Workshop Statistics Discovery with Data and the Graphing Calculator",7,,PB,387949976,Mathematics,
"Roth, Philip","Goodbye, Columbus and Five Short Stories, Letting Go",1,,HB,1931082790,,
"Rothenberg, Paula S.","Race, Class, and Gender in the United States: An Integrated Study",2,,PB,312078374,,
"Rothenberg, Paula S.","White Priviledge",2,,PB,716787334,,
"Rothfield, Lawrence","Unsettling ""Sensation""",,3,PB,813529352,,
"Rousse, Michel","La Farce de Maitre Pathelin",,3,PB,2038700486,French,
"Rousseau, Jean-Jacques","Discourse on Inequality",15,2,PB,140444394,,
"Rousseau, Jean-Jacques","First and Second Discourses",,2,PB,312694407,,
"Rowson, Susanna","Charlotte Temple and Lucy Temple",11,,PB,140390804,,
"Rowson, Susanna","Slaves in Algiers or, a Struggle for Freedom",,2,PB,1583900144,,
"Ruddiman, William F.","Earth's Climate Past and Future",2,,PB,716784906,,2011S
"Rudolph, Susanne Hoeber & Lloyd I. Rudolph","Gandhi: the Traditional Roots of Charisma",3,,PB,226731367,,
"Ruede, Howard","Sod-House Days: Letters from a Kansas Homesteader 1877-78",3,,PB,700602348,,
"Runciman, Steven","History of the Crusades Volume 1: the First Crusade and the Foundation of the Kingdom of Jerusalem",,,PB,,,
"Rupp, Leila J.","Desired Past",2,,PB,226731561,,2012S
"Russell, Bertrand","Problems of Philosophy",,,PB,195002121,,
"Russell, Jeffrey Burton","Inventing the Flat Earth: Columbus and Modern Historians",,,PB,27595904X,,
"Russell, Jeffrey Burton","Witchcraft in the Middle Ages",7,,PB,801492890,,
"Ruxton, Graeme D. & Nick Colegrave","Experimental Design for the Life Sciences",1,2,PB,199252327,Floor,2012S
"Ruxton, Graeme D. & Nick Colegrave","Experimental Design for the Life Sciences",2,7,PB,19928511X,Floor,2012S
"Rydell, Robert W. & Rob Kroes","Buffalo Bill in Bologna: the Americanization of the World, 1869-1922",1,,HB,226732428,,
"Ryscavage, Paul","Income Inequality in America: an Analysis of Trends",3,,PB,765602342,,
"Saari, Jon L.","Legacies of Childhood",,,HB,674521609,,
"Sabin, William","Gregg Reference Manual",7,,PB,28199332,"English Grammar/Words",
"Sablo-Yates, Maria","Laboratory Manual to Accompany Puntos de Partida",6,,PB,72382457,Floor,2010F
"Sablo-Yates, Maria","Laboratory Manual to Accompany Puntos de Partida",7,4,PB,72951281,Floor,2010F
"Sablo-Yates, Maria","Laboratory Manual to Accompany Puntos de Partida",8,2,PB,73325503,BOX,2011S
"Saccio, Peter","Shakespeare's English Kings: History, Chronicle, and Drama",2,,PB,195123190,,
"Sacco, Joe",Palestine,8,,PB,156097432X,,
"Sacks, Oliver",Musicophilia,,2,HB,1400040810,,2011S
"Saich, Tony","Governance and Politics of China",2,2,PB,1403921857,,
"Saikaku, Ihara","Five Women Who Loved Love: Amorous Tales from 17th-Century Japan",31,3,PB,804801843,,
"Sakwa, Richard","Putin Russia's Choice",,,PB,415296641,,
"Sakwa, Richard","Russian Politics and Society",3,2,PB,415227534,,
"Salamandra, Christa","New Old Damascus: Authenticity and Distinction in Urban Syria",1,,PB,253217229,,
"Salamon, Sonya","Newcomers to Old Towns",1,,HB,226734129,,
"Salhi, Kamal","African Theatre for Development Art for Self-Determination",,,PB,1871516773,,
"Salinger, J.D.","Franny and Zooey",,,PB,553269739,,
Sallust,"Jugurthine Way/Conspiracy of Catiline",28,,PB,140441328,,
"Salzinger, Leslie","Genders in Production",3,3,PB,520235398,Square,2010F
"Salzinger, Leslie","Genders in Production",4,,PB,520235397,,2012S
"Salzman, Philip Carl","Understanding Culture",3,,PB,1577661796,,
"Sampson, Gary P.","Trade, Environment, and the WTO: the Post-Seattle Agenda",,3,PB,1565170296,Square,2010F
"Sampson, Geoffrey","Educating Eve: the 'Language Instinct' Debate",,6,PB,826472095,,
"Samson, Jane","British Empire",,2,PB,192892932,,
"Samuelson, Norbert M.","Revelation and the God of Israel",1,,PB,521089494,,2011S
"Sand, George",Indiana,,,PB,2070376044,French,
"Sandison, David","Che Guevara",1,,PB,312182732,,
"Sandoval, Chela","Methodology of the Oppressed",6,,PB,816627370,,2011S
"Sanford, Victoria","Buried Secrets: Truth and Human Rights in Guatemala",1,4,PB,1403965595,Crate,2010F
"Sanford, Victoria & Asale Angel-Ajani","Engaged Observer: Anthropology, Advocacy, and Activism",2,,PB,813538920,,2011S
"Sarkar, Sumit & Tanika Sarkar","Women and Social Reform in Modern India",1,,PB,253220493,,2012S
"Sarmiento, Domingo F.","Facundo or, Civilization and Barbarism",,2,PB,140436774,,
"Sartre, Jean-Paul","Anti-Semite and Jew: An Exploration of the Etiology of Hate",10,2,PB,805210474,,2012S
"Sartre, Jean-Paul","Existentialism and Human Emotions",,2,PB,806509023,,
"Sartre, Jean-Paul","Huis Clos",,,PB,2070368075,French,2012S
"Sarup, Madan","Introductory Guide to Post-Structuralism and Postmodernism",2,,PB,820315311,,2011S
"Sastre, Alfonso","Escuadra Hacia La Muerte, La Mordaza",6,10,PB,8470391879,Crate,2010F
"Sastre, Alfonso","Escuadra Hacia La Muerte, La Mordaza",,4,PB,847039187,Spanish,2010F
"Satel, Sally","PC, M.D.",,,PB,46507182,,
"Satlow, Michael L.","Creating Judaism: History, Tradition, Practice",1,,PB,231134894,,2010F
"Saunders, Jason L.","Greek and Roman Philosophy After Aristotle",7,,PB,684836432,,2011S
"Savage-Rumbaugh, Sue & Roger Lewin","Kanzi: the Ape at the Brink of the Human Mind",1,,PB,47115959X,,
"Savage-Rumbaugh, Sue & Stuart G. Shanker & Talbot J. Taylor","Apes, Language, and the Human Mind",4,2,PB,19514712X,,
"Sayers, Dorothy L.","Song of Roland",,,PB,140440755,,
"Sayles, George O.","King's Parliament of England",5,,PB,393093220,,
"Scarry, Elaine","Body in Pain: the Making and Unmaking of the World",25,,PB,195049969,,
"Schakel, Peter & Jack Ridl","250 Poems",7,2,PB,312402384,,
"Schechner, Richard","Performance Studies",2,4,PB,415372466,Theater,2011S
"Schedler, Andreas","Electoral Authoritarianism: the Dynamics of Unfree Competition",1,,PB,1588264408,,
"Schedler, Andreas & Larry Diamond & Mark F. Plattner","Self-Restraining State",1,2,PB,1555877745,,
"Schelling, Thomas C.","Micromotives and Macrobehavior",9,,PB,393090094,,2012S
"Schenkel, Andrea Maria",Tannod,,,PB,3894014797,German,
"Scheper-Hughes, Nancy","Death Without Weeping: the Violence of Everyday Life in Brazil",6,2,PB,520075374,,
"Schiebinger, Londa","Mind Has No Sex?",5,,PB,67457625X,,2012S
"Schieffelin, Bambi B.","Give and Take of Everyday Life: Language Socialization of Kaluli Children",,,PB,521386543,,
"Schiller, Bradley R.","Macro Economy Today",11,,PB,73287113,Economics,2012S
"Schirokauer, Conrad","Brief History of Japanese Civilization",2,,PB,155002821,,
"Schlink, Bernhard",Reader,,,PB,375707972,,
"Schneider, Peter","Extreme Mittellage",,,PB,3498062530,German,
"Schneider, Stephen H. et al.","Climate Change Science and Policy",,,PB,1597265676,,
"Schneir, Miriam","Feminism in Our Time: the Essential Writings, World War II to the Present",1,4,PB,679745084,,
"Schneir, Miriam","Feminism in Our Time: the Essential Writings, World War II to the Present",,3,PB,679753818,,
"Schofer, Peter & Donald Rice","Autour de la Litterature",5,4,PB,1413005837,Floor,2010F
"Schofer, Peter & Donald Rice","Autour de la Litterature",4,19,PB,838479189,Floor,2011S
"Schorske, Carl E.","Fin-De-Siecle Vienna: Politics and Culture",,3,PB,394744780,,
"Schraeder, Peter J.","African Politics and Society",2,2,PB,53456769X,,2010F
"Schram, Sanford F. & Joe Soss & Richard C. Fording","Race and the Politics of Welfare Reform",1,,PB,472068318,,
"Schrecker, Ellen","Age of McCarthyism: a Brief History with Documents",4,,PB,312393199,,
"Schudson, Michael","Good Citizen: a History of American Civic Life",1,2,HB,684827298,,
"Schulman, Bruce J.","Lyndon B. Johnson and American Liberalism",2,,PB,312416334,,
"Schulman, Bruce J.","Lyndon B. Johnson and American Liberalism",4,2,PB,312083513,,
"Schutt, Russell K.","Investigating the Social World: The Process and Practice of Research w /CD",4,3,"PB w/CD",761929282,"Social Texts",
"Schutt, Russell K.","Investigating the Social World: the Process and Practice of Research",5,2,"PB w/CD",141292734X,"Social Texts",
"Schwartz, Barry","Paradox of Choice",10,,PB,60005696,,2011S
"Schwartz, Pepper & Virginia Rutter","Gender of Sexuality",2,2,PB,803990421,,
"Schwartz, Stuart B.","Victors and Vanquished: Spanish and Nahua Views of the Conquest of Mexico",,21,PB,312393555,,
"Schwartz, Vanessa R.","Spectacular Realities: Early Mass Culture in Fin-de-Siecle Paris",2,,PB,520221680,,
"Scott, Allen J.","Regions and the World Economy",4,,PB,198296584,,
"Scott, James C.","Weapons of the Weak: Everyday Forms of Peasant Resistance",13,,PB,300036418,,
"Scott, John","Behind the Urals",11,,PB,253205360,,
"Scott, Kesho & Cherry Muhanji & Egyirba High","Tight Spaces",,4,PB,877456658,,2011S
"Seager, Joni","Penguin Atlas of Women in the World",4,2,PB,143114512,,2012S
"Seals, David","Powwow Highway",11,2,PB,452263778,,
"Sebbar, Leila","La Seine Etait Rouge",,,PB,2844202369,French,
"Sebold, Alice","Lovely Bones",17,,PB,316168816,,
"Seccombe, Karen","Families in Poverty",4,,PB,205502547,,2011S
"Sedgwick, Eve Kosofsky","Epistemology of the Closet",1,,PB,520254060,,
"Sedgwick, Peter","Descartes to Derrida: An Introduction to European Philosophy",1,,PB,631201432,,
"Seed, Patricia","To Love, Honor, and Obey in Colonial Mexico",,3,PB,804721599,,2012S
"Seefeldt, Vern & Michael A. Clark & Eugene W. Brown","Program for Athletic Coaches' Education (PACE)",3,2,PB,1884125972,Coaching,
"Seghers, Anna","Seventh Cross",1,2,PB,1567922538,,
"Seligman, Martin E.P.","Authentic Happiness",11,3,PB,743222989,,
"Seligman, Martin E.P.","Authentic Happiness",1,,HB,743222970,,
"Sells, Michael","Approaching the Qur'an: the Early Revelations",2,3,PB,1883991692,,2012S
"Sells, Michael","Approaching the Qur'an: the Early Revelations",1,,PB,1883991269,,2012S
"Sells, Michael","Bridge Betrayed: Religion and Genocide in Bosnia",3,,PB,520216628,,
"Sen, Amartya","Development as Freedom",1,,PB,385720270,,
"Sena, Hideaki","Parasite Eve",1,,PB,1932234206,,
"Senna, Danzy",Caucasia,21,2,PB,1573227162,,
"Serano, Julia","Whipping Girl: a Transsexual Woman on Sexism and the Scapegoating of Femininity",,,PB,1580051545,,2012S
"Sered, Susan","Women of the Sacred Groves: Divine Priestesses of Okinawa",1,,PB,195124871,,
"Serge, Victor","Case of Comrade Tulayev",,4,PB,,,
"Seton, Ernest Thompson","Two Little Savages",,,PB,486209857,,
"Shadick, Harold & Ch'iao Chien","First Course in Literary Chinese Volume I",11,,PB,801498376,Chinese,2010F
"Shadick, Harold & Ch'iao Chien","First Course in Literary Chinese Volume II",10,,PB,801498384,Chinese,2010F
"Shafer, Byron E. & John Baines & Leonard H. Lesko & David P. Silverman","Religion in Ancient Egypt: Gods, Myths, and Personal Practice",6,2,PB,801497868,,
"Shafir, Gershon","Citizenship Debates",4,2,PB,816628815,,
"Shah, Sonia","Fever: How Malaria has Ruled Humankind for 500,000 Years",1,,PB,312573010,,2012S
Shakespeare,"Norton Shakespeare",2,,PB,393933130,,2011S
Shakespeare,Tempest,9,,PB,393978193,BOX,2011S
"Shakespeare, William","All's Well That Ends Well",9,,PB,451522613,,
"Shakespeare, William","Antony and Cleopatra",7,4,PB,140714529,,
"Shakespeare, William","Antony and Cleopatra",,,PB,140714200,,
"Shakespeare, William","As You Like It",2,,PB,17443586X,,
"Shakespeare, William","Complete Pelican Shakespeare",12,,HB,140714499,,
"Shakespeare, William",Cymbeline,8,,PB,140714723,,
"Shakespeare, William",Hamlet,14,,PB,67172262X,,2010F
"Shakespeare, William",Hamlet,2,,PB,789122499,,2010F
"Shakespeare, William",Hamlet,5,,PB,312055447,,2010F
"Shakespeare, William",Hamlet,,2,PB,140714545,,2010F
"Shakespeare, William","Henry IV Part One",2,,PB,451527119,,
"Shakespeare, William","Henry IV Part One",8,4,PB,140714561,,
"Shakespeare, William","Henry IV Part Two",21,,PB,451522532,,
"Shakespeare, William","Henry V",3,,PB,451526902,,
"Shakespeare, William","Henry VIII",4,,PB,140714758,,
"Shakespeare, William","King Lear",12,2,PB,140714766,,
"Shakespeare, William","Love's Labour's Lost",2,,PB,174435002,,
"Shakespeare, William",Macbeth,12,2,PB,140714782,,
"Shakespeare, William","Measure for Measure",3,,PB,174434774,,
"Shakespeare, William","Midsummer Night's Dream",10,3,PB,140714553,,
"Shakespeare, William","Norton Shakespeare",2,,HB,393929911,,
"Shakespeare, William",Othello,1,3,PB,1402201028,,
"Shakespeare, William",Othello,8,,PB,140714634,,
"Shakespeare, William",Pericles,5,2,PB,140714693,,
"Shakespeare, William","Richard II",1,,PB,451527194,,
"Shakespeare, William","Richard II",2,4,PB,140714820,,
"Shakespeare, William","Richard III",1,,PB,39392591,,2011S
"Shakespeare, William","Richard III",2,,PB,451526953,,
"Shakespeare, William","Romeo and Juliet",8,3,PB,140714847,,
"Shakespeare, William","Romeo and Juliet",,,PB,789122529,,
"Shakespeare, William","Sonnets and Narrative Poems: Complete Non-Dramatic Poetry",4,,PB,451523148,,
"Shakespeare, William",Tempest,12,,PB,553213075,,2011S
"Shakespeare, William",Tempest,15,,PB,451527127,,2011S
"Shakespeare, William",Tempest,,3,PB,393978193,,2011S
"Shakespeare, William","Twelfth Night",5,5,PB,140714898,,
"Shakespeare, William","Two Noble Kinsmen",,,PB,1904271189,,
"Shakespeare, William","Winter's Tale",9,,PB,14071488X,,
"Sharoni, Simona","Gender and the Israeli-Palestinian Conflict",1,,PB,815602995,,
"Sharp, James Roger","American Politics in the Early Republic: the New Nation in Crisis",4,2,PB,300065191,,
"Shasha, Dennis","Puzzling Adventures of Doctor Ecco",,,PB,486296156,,
"Shattuck, Roger","Banquet Years",,,PB,394704150,,
"Shaw, Susan & Janet Lee","Women's Voices Feminist Visions",4,2,PB,73512280,,2012S
"Shaw, Susan M. & Janet Lee","Women's Voices Feminist Visions",3,3,PB,7311250X,,2012S
"She, Lao",Teahouse,,,PB,7119027808,Chinese,
"Shearman, Peter","Russian Foreign Policy Since 1990",1,,PB,813326338,,2011S
"Sheehan-Dean, Aaron","Concise Historical Atlas of the U.S. Civil War",,,PB,195309584,,
"Shelley, Mary",Frankenstein,18,,PB,140433627,,2011S
"Shelley, Mary",Frankenstein,1,4,PB,393964582,,2011S
"Shelley, Mary",Frankenstein,,3,PB,486282112,,2011S
"Shelley, Mary",Frankenstein,2,2,PB,31219126X,,2011S
"Shepherd, Ben","War in the Wild East",,2,HB,674012968,,
"Sheridan, Frances & William Beckford & Lord Byron","Three Oriental Tales",1,2,PB,618107312,,
"Sherman, Daniel J. & Terry Nardin","Terror, Culture, Politics: Rethinking 9/11",1,,PB,253218128,,
"Sherman, Nancy","Fabric of Character: Aristotle's Theory of Virtue",4,2,PB,198239173,,
"Shevtsova, Lilia","Putin's Russia",1,,PB,870032135,,
"Shields, David","Black Planet: Facing Race During an NBA Season",1,,HB,60960452X,,2011S
"Shipman, Pat","Evolution of Racism",2,,HB,671754602,,
"Shirer, William L.","Rise and Fall of the Third Reich",,,HB,671624202,,2011S
"Shiva, Vandana","Staying Alive: Women, Ecology and Development",8,4,PB,862328233,,
"Shiva, Vandana","Stolen Harvest",3,,PB,896086070,Square,2010F
"Shively, W. Phillips","Craft of Political Research",6,,PB,131174401,,
"Shively, W. Phillips","Power and Choice",10,8,PB,73278904,Square,2010F
"Shively, W. Phillips","Power and Choice",8,,PB,72476664,Square,2010F
"Shively, W. Phillips","Power and Choice",9,,PB,72996129,Square,2010F
"Shively, W. Phillips","Power and Choice",11,2,PB,73403911,,2010F
"Shugaar, Antony","Memoirs of an Italian Terrorist",,,PB,786711345,,
"Shuo, Wang","Please Don't Call Me Human",1,,PB,887274129,,
"Siegler, Robert & Judy Deloache & Nancy Eisenberg","How Children Develop",1,,HB,1572592494,Psychology,2011S
"Siegler, Robert & Judy Deloache & Nancy Eisenberg","How Children Develop",2,3,HB,716795272,Psychology,2011S
"Silk, Mark","Unsecular Media: Making News of Religion in America",1,3,PB,252067428,,
"Silko, Leslie Marmon",Ceremony,2,,PB,143104919,,
"Simmons, P.J. & Chantal de Jonge Oudraat","Managing Global Issues",2,,PB,87003183X,,
"Simonson, Lee","Stage is Set",,,HB,,,
"Simpson, Beryl Brintnall & Molly Conner Ogorzaly","Economic Botany: Plants in Our World",3,,HB,72909388,Ecology,
"Sinisterra, Jose Sanchis","Naque, !Ay, Carmela!",10,3,PB,8437610346,Spanish,
"Sipser, Michael","Introduction to the Theory of Computation",,,PB,7111173279,,
"Skeldon, Ronald","Reluctant Exiles? Migration from Hong Kong and the New Overseas Chinese",1,,PB,1563244322,,
"Skilling, H. Gordon & Franklyn Griffiths","Interest Groups in Soviet Politics",,,HB,691056412,,2011S
"Skinner, Brian J. & Stephen C. Porter & Jeffrey Park","Dynamic Earth: An Introduction to Physical Geology",5,,PB,471152285,Physics/Geology,
"Skocpol, Theda","Protecting Soldiers and Mothers: the Political Origins of Social Policy in the United States",1,,PB,67471766X,,
"Skoog, Douglas A. & F. James Holler & Stanley R. Crouch","Instrumental Analysis",,,PB,8131505421,Chemistry,2012S
"Slack, Jennifer Daryl & J. Macgregor Wise","Culture and Technology",,2,PB,820450073,,2012S
"Slater, Lauren",Lying,4,,PB,14200006X,,2012S
"Sleeter, Christine E. & Carl A. Grant","Making Choices for Multicultural Education",4,4,PB,471393525,Square,2010F
"Sleeter, Christine E. & Carl A. Grant","Making Choices for Multicultural Education",5,3,PB,471746584,Square,2010F
"Sleeter, Christine E. & Carl A. Grant","Making Choices for Multicultural Education",6,,PB,470383698,Square,2010F
"Slemrod, Joel & Jon Bakija","Taxing Ourselves: A Citizen's Guide to the Debate over Taxes",3,2,PB,26269302X,,
"Slingerland, Edward","Confucius' Analects",2,,PB,872206351,,
"Sloboda, John A.","Musical Mind: Cognitive Psychology of Music",,,PB,198521286,,2012S
"Small, Christopher","Musicking: the Meanings of Performing and Listening",3,6,PB,819522570,,
"Small, Mario Luis","Villa Victoria",,2,,226762920,,2012S
"Smith, Adam","Wealth of Nations",,2,HB,679424733,,
"Smith, Alexander H","Mushroom Hunter's Field Guide",3,,HB,9900089990,Biology,2011S
